Time,Node,State,Running jobs,Expected jobs
1.3359e+06,Syn_29,allocated,204,none
1.3359e+06,Syn_3,allocated,204,none
1.3359e+06,Syn_30,allocated,204,none
1.3359e+06,Syn_31,allocated,204,none
1.33661e+06,Syn_12,free,none,none
1.33661e+06,Syn_14,free,none,none
1.33661e+06,Syn_15,free,none,none
1.33661e+06,Syn_16,free,none,none
1.33661e+06,Syn_17,free,none,none
1.33661e+06,Syn_20,free,none,none
1.33661e+06,Syn_21,free,none,none
1.33661e+06,Syn_23,free,none,none
1.33661e+06,Syn_12,allocated,205,none
1.33661e+06,Syn_14,allocated,205,none
1.33661e+06,Syn_15,allocated,205,none
1.33661e+06,Syn_16,allocated,205,none
1.33661e+06,Syn_17,allocated,205,none
1.33661e+06,Syn_20,allocated,205,none
1.33661e+06,Syn_21,allocated,205,none
1.33661e+06,Syn_23,allocated,205,none
1.35039e+06,Syn_4,free,none,none
1.35039e+06,Syn_5,free,none,none
1.35039e+06,Syn_6,free,none,none
1.35039e+06,Syn_7,free,none,none
1.35039e+06,Syn_4,allocated,206,none
1.35039e+06,Syn_5,allocated,206,none
1.35039e+06,Syn_6,allocated,206,none
1.35039e+06,Syn_7,allocated,206,none
1.35943e+06,Syn_18,free,none,none
1.35943e+06,Syn_19,free,none,none
1.35943e+06,Syn_2,free,none,none
1.35943e+06,Syn_24,free,none,none
1.35943e+06,Syn_25,free,none,none
1.35943e+06,Syn_26,free,none,none
1.35943e+06,Syn_27,free,none,none
1.35943e+06,Syn_28,free,none,none
1.35943e+06,Syn_18,allocated,207,none
1.35943e+06,Syn_19,allocated,207,none
1.35943e+06,Syn_2,allocated,207,none
1.35943e+06,Syn_24,allocated,207,none
1.35943e+06,Syn_25,allocated,207,none
1.35943e+06,Syn_26,allocated,207,none
1.35943e+06,Syn_27,allocated,207,none
1.35943e+06,Syn_28,allocated,207,none
1.36375e+06,Syn_29,free,none,none
1.36375e+06,Syn_3,free,none,none
1.36375e+06,Syn_30,free,none,none
1.36375e+06,Syn_31,free,none,none
1.37142e+06,Syn_0,free,none,none
1.37142e+06,Syn_1,free,none,none
1.37142e+06,Syn_10,free,none,none
1.37142e+06,Syn_11,free,none,none
1.37142e+06,Syn_13,free,none,none
1.37142e+06,Syn_22,free,none,none
1.37142e+06,Syn_8,free,none,none
1.37142e+06,Syn_9,free,none,none
